0	45673.9
1	45816.7
2	45959.6
3	46102.8
4	46246
5	46389.5
6	46533.1
7	46676.8
8	46820.7
9	46964.8
10	47109
11	47253.3
12	47397.8
13	47542.4
14	47687.2
15	47832.1
16	47977.2
17	48122.4
18	48267.7
19	48413.2
20	48558.8
21	48704.6
22	48850.4
23	48996.4
24	49142.6
25	49288.8
26	49435.2
27	49581.7
28	49728.4
29	49875.1
30	50022
31	50169
32	50316.1
33	50463.4
34	50610.7
35	50758.2
36	50905.8
37	51053.4
38	51201.2
39	51349.1
40	51497.1
41	51645.2
42	51793.4
43	51941.7
44	52090.2
45	52238.7
46	52387.3
47	52536
48	52684.7
49	52833.6
50	52982.6
51	53131.7
52	53280.8
53	53430
54	53579.3
55	53728.7
56	53878.2
57	54027.7
58	54177.4
59	54327.1
60	54476.9
61	54626.7
62	54776.6
63	54926.6
64	55076.7
65	55226.8
66	55376.9
67	55527.2
68	55677.5
69	55827.8
70	55978.3
71	56128.7
72	56279.3
73	56429.8
74	56580.4
75	56731.1
76	56881.8
77	57032.6
78	57183.4
79	57334.2
80	57485.1
81	57636
82	57787
83	57938
84	58089
85	58240
86	58391.1
87	58542.2
88	58693.3
89	58844.5
90	58995.6
91	59146.8
92	59298
93	59449.2
94	59600.5
95	59751.7
96	59903
97	60054.2
98	60205.5
99	60356.8
100	60508
101	60659.3
102	60810.6
103	60961.8
104	61113.1
105	61264.3
106	61415.6
107	61566.8
108	61718
109	61869.2
110	62020.4
111	62171.6
112	62322.7
113	62473.8
114	62624.9
115	62776
116	62927
117	63078
118	63229
119	63380
120	63530.9
121	63681.7
122	63832.6
123	63983.3
124	64134.1
125	64284.8
126	64435.4
127	64586
128	64736.5
129	64887
130	65037.5
131	65187.8
132	65338.1
133	65488.4
134	65638.6
135	65788.7
136	65938.7
137	66088.7
138	66238.6
139	66388.4
140	66538.2
141	66687.9
142	66837.4
143	66986.9
144	67136.4
145	67285.7
146	67434.9
147	67584.1
148	67733.2
149	67882.1
150	68031
151	68179.8
152	68328.4
153	68477
154	68625.4
155	68773.8
156	68922
157	69070.2
158	69218.2
159	69366.1
160	69513.8
161	69661.5
162	69809
163	69956.4
164	70103.7
165	70250.9
166	70397.9
167	70544.8
168	70691.5
169	70838.2
170	70984.6
171	71131
172	71277.2
173	71423.2
174	71569.1
175	71714.8
176	71860.4
177	72005.9
178	72151.2
179	72296.3
180	72441.3
181	72586.1
182	72730.7
183	72875.2
184	73019.5
185	73163.6
186	73307.5
187	73451.3
188	73594.9
189	73738.3
190	73881.6
191	74024.6
192	74167.5
193	74310.2
194	74452.7
195	74594.9
196	74737
197	74878.9
198	75020.7
199	75162.2
200	75303.4
201	75444.5
202	75585.4
203	75726.1
204	75866.6
205	76006.8
206	76146.8
207	76286.6
208	76426.2
209	76565.6
210	76704.7
211	76843.6
212	76982.3
213	77120.8
214	77259
215	77397
216	77534.7
217	77672.2
218	77809.5
219	77946.5
220	78083.3
221	78219.8
222	78356.1
223	78492.1
224	78627.8
225	78763.4
226	78898.6
227	79033.6
228	79168.3
229	79302.7
230	79436.9
231	79570.8
232	79704.5
233	79837.9
234	79970.9
235	80103.8
236	80236.3
237	80368.5
238	80500.5
239	80632.2
240	80763.6
241	80894.7
242	81025.5
243	81156
244	81286.2
245	81416.1
246	81545.7
247	81675
248	81804
249	81932.7
250	82061
251	82189.1
252	82316.9
253	82444.3
254	82571.4
255	82698.2
256	82824.7
257	82950.8
258	83076.6
259	83202.1
260	83327.3
261	83452.1
262	83576.6
263	83700.7
264	83824.6
265	83948
266	84071.1
267	84193.9
268	84316.4
269	84438.4
270	84560.2
271	84681.6
272	84802.6
273	84923.2
274	85043.5
275	85163.5
276	85283.1
277	85402.3
278	85521.1
279	85639.6
280	85757.7
281	85875.4
282	85992.8
283	86109.8
284	86226.4
285	86342.6
286	86458.4
287	86573.8
288	86688.9
289	86803.6
290	86917.9
291	87031.7
292	87145.2
293	87258.3
294	87371
295	87483.3
296	87595.2
297	87706.7
298	87817.7
299	87928.4
300	88038.7
301	88148.5
302	88257.9
303	88366.9
304	88475.5
305	88583.7
306	88691.4
307	88798.8
308	88905.7
309	89012.1
310	89118.2
311	89223.8
312	89329
313	89433.7
314	89538
315	89641.9
316	89745.3
317	89848.3
318	89950.9
319	90052.9
320	90154.6
321	90255.8
322	90356.5
323	90456.8
324	90556.7
325	90656.1
326	90755
327	90853.5
328	90951.5
329	91049
330	91146.1
331	91242.7
332	91338.8
333	91434.5
334	91529.7
335	91624.4
336	91718.7
337	91812.4
338	91905.7
339	91998.5
340	92090.9
341	92182.7
342	92274.1
343	92365
344	92455.4
345	92545.3
346	92634.7
347	92723.6
348	92812
349	92899.9
350	92987.3
351	93074.3
352	93160.7
353	93246.6
354	93332
355	93416.9
356	93501.4
357	93585.3
358	93668.6
359	93751.5
360	93833.9
361	93915.7
362	93997.1
363	94077.9
364	94158.2
365	94237.9
366	94317.2
367	94395.9
368	94474.1
369	94551.8
370	94628.9
371	94705.6
372	94781.7
373	94857.2
374	94932.2
375	95006.7
376	95080.7
377	95154.1
378	95227
379	95299.3
380	95371.1
381	95442.4
382	95513.1
383	95583.3
384	95652.9
385	95722
386	95790.5
387	95858.5
388	95925.9
389	95992.8
390	96059.1
391	96124.8
392	96190.1
393	96254.7
394	96318.8
395	96382.3
396	96445.3
397	96507.7
398	96569.5
399	96630.8
400	96691.5
401	96751.7
402	96811.3
403	96870.3
404	96928.7
405	96986.6
406	97043.9
407	97100.6
408	97156.8
409	97212.4
410	97267.4
411	97321.8
